[ 2025-12-10 14:22:51,233 ] 22 root - INFO - Initiate the data ingestion
[ 2025-12-10 14:22:53,450 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-12-10 14:22:53,450 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-12-10 14:22:53,450 ] 75 root - INFO - Exporting train and test file path.
[ 2025-12-10 14:22:53,494 ] 84 root - INFO - Exported train and test file path.
[ 2025-12-10 14:22:53,495 ] 24 root - INFO - Data Initiation Completed
[ 2025-12-10 14:22:53,498 ] 29 root - INFO - Initiate the data Validation
[ 2025-12-10 14:22:53,514 ] 32 root - INFO - Required number of columns:2
[ 2025-12-10 14:22:53,514 ] 33 root - INFO - Data frame has columns:31
[ 2025-12-10 14:22:53,514 ] 32 root - INFO - Required number of columns:2
[ 2025-12-10 14:22:53,514 ] 33 root - INFO - Data frame has columns:31
[ 2025-12-10 14:22:53,639 ] 31 root - INFO - data Validation Completed
