[ 2025-12-27 17:18:51,480 ] 1025 httpx - INFO - HTTP Request: POST https://dagshub.com/login/oauth/middleman "HTTP/1.1 200 OK"
[ 2025-12-27 17:18:52,335 ] 1025 httpx - INFO - HTTP Request: POST https://dagshub.com/login/oauth/access_token "HTTP/1.1 200 OK"
[ 2025-12-27 17:18:53,149 ] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[ 2025-12-27 17:18:53,154 ] 107 dagshub - INFO - Accessing as iamshubhmkr
[ 2025-12-27 17:18:53,657 ] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/repos/iamshubhmkr/networksecurity "HTTP/1.1 200 OK"
[ 2025-12-27 17:18:54,636 ] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[ 2025-12-27 17:18:54,638 ] 107 dagshub - INFO - Initialized MLflow to track repo "iamshubhmkr/networksecurity"
[ 2025-12-27 17:18:54,638 ] 107 dagshub - INFO - Repository iamshubhmkr/networksecurity initialized!
[ 2025-12-27 17:18:54,639 ] 23 root - INFO - Initiate the data ingestion
[ 2025-12-27 17:18:56,600 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-12-27 17:18:56,600 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-12-27 17:18:56,600 ] 75 root - INFO - Exporting train and test file path.
[ 2025-12-27 17:18:56,643 ] 84 root - INFO - Exported train and test file path.
[ 2025-12-27 17:18:56,644 ] 25 root - INFO - Data Initiation Completed
[ 2025-12-27 17:18:56,647 ] 30 root - INFO - Initiate the data Validation
[ 2025-12-27 17:18:56,664 ] 32 root - INFO - Required number of columns:2
[ 2025-12-27 17:18:56,664 ] 33 root - INFO - Data frame has columns:31
[ 2025-12-27 17:18:56,664 ] 32 root - INFO - Required number of columns:2
[ 2025-12-27 17:18:56,664 ] 33 root - INFO - Data frame has columns:31
[ 2025-12-27 17:18:56,787 ] 32 root - INFO - data Validation Completed
[ 2025-12-27 17:18:56,787 ] 37 root - INFO - data Transformation started
[ 2025-12-27 17:18:56,787 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-12-27 17:18:56,787 ] 65 root - INFO - Starting data transformation
[ 2025-12-27 17:18:56,802 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-12-27 17:18:56,802 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-12-27 17:18:56,811 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-12-27 17:18:56,815 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-12-27 17:18:56,815 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-12-27 17:18:56,821 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-12-27 17:18:56,822 ] 41 root - INFO - data Transformation completed
[ 2025-12-27 17:18:56,822 ] 43 root - INFO - Model Training sstared
