[ 2025-12-14 00:22:18,091 ] 23 root - INFO - Initiate the data ingestion
[ 2025-12-14 00:22:20,740 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-12-14 00:22:20,741 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-12-14 00:22:20,741 ] 75 root - INFO - Exporting train and test file path.
[ 2025-12-14 00:22:20,786 ] 84 root - INFO - Exported train and test file path.
[ 2025-12-14 00:22:20,786 ] 25 root - INFO - Data Initiation Completed
[ 2025-12-14 00:22:20,790 ] 30 root - INFO - Initiate the data Validation
[ 2025-12-14 00:22:20,807 ] 32 root - INFO - Required number of columns:2
[ 2025-12-14 00:22:20,808 ] 33 root - INFO - Data frame has columns:31
[ 2025-12-14 00:22:20,808 ] 32 root - INFO - Required number of columns:2
[ 2025-12-14 00:22:20,808 ] 33 root - INFO - Data frame has columns:31
[ 2025-12-14 00:22:20,938 ] 32 root - INFO - data Validation Completed
[ 2025-12-14 00:22:20,938 ] 37 root - INFO - data Transformation started
[ 2025-12-14 00:22:20,938 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-12-14 00:22:20,938 ] 65 root - INFO - Starting data transformation
[ 2025-12-14 00:22:20,952 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-12-14 00:22:20,952 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-12-14 00:22:20,957 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-12-14 00:22:20,959 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-12-14 00:22:20,959 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-12-14 00:22:20,961 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-12-14 00:22:20,962 ] 41 root - INFO - data Transformation completed
